,中文,英文,標籤,排名,地址
191,西武池袋總店,SEIBU IKEBUKURO Honten,購物,排名第 3的豊島區觀光 (共179家),東京都豊島區南池袋1-28-1171-8569
192,,Masakado Kubizuka,自然景觀,排名第 44的千代田區觀光 (共446家),東京都千代田區1-2-1 Otemachi100-0004
193,淺草花屋敷遊樂園,Hanayashiki,"水上樂園和遊樂園,遊樂園",排名第 27的台東區觀光 (共560家),東京都台東區淺草2-28-1111-0032
194,淺草演芸,Asakusa Engei Hall,表演活動,排名第 24的台東區觀光 (共560家),東京都台東區1-43-12 Asakusa111-0032
195,,Asukayama Park,自然景觀,排名第 2的北區觀光 (共102家),東京都北區1-1-3 Oji114-0002
196,立教大學,池袋校區 Rikkyo University Ikebukuro Campus,其他,排名第 1的豊島區觀光 (共179家),東京都豊島區3-34-1 Nishi ikebukuro171-8501
197,五島美術館,The Gotoh Museum,"自然景觀,博物館",排名第 15的世田谷區觀光 (共235家),東京都世田谷區上野毛3-9-25158-0093
198,春花園,BONSAI 美術館 Shunkaen BONSAI Museum,博物館,排名第 5的江戶川區觀光 (共191家),東京都江戶川區1-29-16 Nihori132-0001
199,出光美術館,Idemitsu Museum,博物館,排名第 1的Marunouchi觀光 (共7家),東京都千代田區Marunouchi3-1-1 Marunouchi9F Teigeki Building100-0005
200,,Old Asakura family House,自然景觀,排名第 3的目黑區觀光 (共108家),東京都目黑區29-20 Sarugakucho150-0033
201,2k540,AKI-OKA ARTIZAN,購物,排名第 25的台東區觀光 (共560家),東京都台東區5-9 Ueno110-0005
202,隅田公園,Sumida Park,自然景觀,"排名第 179的東京觀光 (共5,926家)",東京都
203,松屋銀座,Matsuya Ginza,購物,排名第 16的中央區觀光 (共577家),東京都中央區3-6-1 Ginza104-8130
204,目黑天空庭園,Meguro Sky Garden,"自然景觀,觀景區",排名第 8的目黑區觀光 (共108家),東京都目黑區1-9-2 Ohashi153-0044
205,東鄉神社,Togo Shrine,"自然景觀,宗教",排名第 18的澀谷區觀光 (共279家),東京都澀谷區神宮前1-5-3150-0001
206,,Sunshine 60大廈 Sunshine 60,"自然景觀,觀景區",排名第 5的豊島區觀光 (共179家),東京都豊島區東池袋3-1 Sunshine60大廈170-6058
207,新丸之內大樓,Shin-Marunouchi Building,購物,排名第 30的千代田區觀光 (共446家),東京都千代田區1-5-1 MarunouchiShin Marunouchi Bldg B1F100-6590
208,,Design Festa美術館 Design Festa Gallery,"購物,博物館,場館",排名第 28的澀谷區觀光 (共279家),東京都澀谷區神宮前3-20-18150-0001
209,東京國際會館,Tokyo International Forum,"自然景觀,遊客相關,觀景區",排名第 3的Marunouchi觀光 (共7家),東京都千代田區Marunouchi丸之內3-5-1100-0005
210,,Tokyo Character Street,自然景觀,排名第 31的千代田區觀光 (共446家),東京都千代田區1-9-1 MarunouchiFirst Avenue Tokyo Station100-0005
211,尼古拉東正教教堂,Holy Resurrection Cathedral,"自然景觀,宗教",排名第 26的千代田區觀光 (共446家),東京都千代田區神田駿河台4-1101-0062
212,紅磚廣場,Marunouchi Brick Square,購物,排名第 16的千代田區觀光 (共446家),東京都千代田區2-6-1 Marunouchi100-0005
213,月島燒,文字燒街 Tsukishima Monjya Street,其他,排名第 25的中央區觀光 (共577家),東京都中央區Tsukishima
214,東京寶塚劇場,Tokyo Takarazuka Theater,表演活動,排名第 19的千代田區觀光 (共446家),東京都千代田區1-1-3 YurakuchoTokyo Takarazuka Building100-0006
215,三社祭,Sanja Matsuri,表演活動,排名第 19的台東區觀光 (共560家),東京都台東區2-3-1 AsakusaAsakusa Shrine111-0032
216,目白庭園,Mejiro Garden,自然景觀,排名第 10的豊島區觀光 (共179家),東京都豊島區目白3-20-18171-0031
217,東京都進代文學博物館,Marquis Maeda Old Western Style House,"自然景觀,博物館,觀景區",排名第 4的目黑區觀光 (共108家),東京都目黑區4-3-53 KomabaKomaba Park153-0041
218,隅田川花火大會,Sumida River Fireworks,表演活動,排名第 12的墨田區觀光 (共264家),東京都墨田區
219,大江戶古董市場,- 東京國際論壇 Oedo Antique Market - Tokyo International Forum,"購物,宗教",排名第 55的千代田區觀光 (共446家),東京都千代田區3-5-1 MarunouchiTokyo International Forum100-0005
220,東京都寫真美術館,Tokyo Photographic Art Museum,博物館,排名第 5的目黑區觀光 (共108家),東京都目黑區三田1-13-3-惠比壽公園綜合商業區內In Ebisu Garden Place153-0062
221,有棲川宮紀念公園,Arisugawa-no-miya Memorial Park,自然景觀,排名第 15的港區觀光 (共626家),東京都港區南麻布5-7106-0047
222,日本損保東鄉青兒美術館,Seiji Togo Memorial Sompo Japan Nipponkoa Museum of Art,博物館,排名第 3的Nishishinjuku觀光 (共18家),東京都新宿區Nishishinjuku1-26-1Sompo Japan Nipponkoa Head Office Bldg. 42F160-8338
223,總持寺(西新井大師),Sojiji Temple (Nishiarai Daishi),"自然景觀,宗教",排名第 1的足立區觀光 (共99家),東京都足立區西新井1-15-1123-0841
224,和田倉噴泉公園,Wadakura Fountain Park,自然景觀,排名第 32的千代田區觀光 (共446家),東京都千代田區皇居外苑100-0002
225,日本國立國會圖書館,National Diet Library,"遊客相關,場館",排名第 35的千代田區觀光 (共446家),"東京都千代田區1-10-1, Nagatacho100-8924"
226,東京車站,八重洲地下街 Tokyo Station Yaesu Chikagai,購物,排名第 17的中央區觀光 (共577家),東京都中央區Tokyo Station Yaesu Entrance B1F
227,井草八幡宮,Igusa Hachimangu Folklore Collection,"自然景觀,宗教",排名第 4的杉並區觀光 (共215家),東京都杉並區善福寺1-33167-0041
228,上野動物園,Ueno Zoo,"自然景觀,表演活動,動物園和水族館",排名第 36的台東區觀光 (共560家),東京都台東區上野公園9-83110-8711
229,羽田機場,第一航廈展望台 Tokyo International Airport (Haneda) Terminal 1 Observation Deck,"自然景觀,觀景區",排名第 5的大田區觀光 (共215家),東京都大田區3-3-2 HanedakukoHaneda Airport No.1 Passenger Terminal144-0041
230,乃木神社,Nogi Shrine,"自然景觀,宗教",排名第 2的Akasaka觀光 (共18家),東京都港區Akasaka8-11-27 Akasaka107-0052
231,皇居路跑區,Imperial Palace Running Course,"自然景觀,表演活動,觀景區",排名第 47的千代田區觀光 (共446家),東京都千代田區
232,靖國神社御靈祭,Mitama Matsuri,表演活動,排名第 57的千代田區觀光 (共446家),東京都千代田區3-1-1 Kudan Kita102-8246
233,,Tower Hall Funabori,"自然景觀,遊客相關,觀景區",排名第 7的江戶川區觀光 (共191家),東京都江戶川區4-1-1 Funabori134-0091
234,東京車展,Tokyo Motor Show,"展覽,表演活動",排名第 25的江東區觀光 (共343家),東京都江東區3-11 AriakeTokyo Big Sight135-0063
235,東京車站一番街,First Avenue Tokyo Station,購物,排名第 23的千代田區觀光 (共446家),"東京都千代田區1-9-1 MarunouchiTokyo Station B1F,1F & 2F100-0005"
236,洗足池公園,Senzokuike Park,"自然景觀,觀景區",排名第 7的大田區觀光 (共215家),東京都大田區2-14-5 Minamisenzoku145-0063
237,東京藝術劇場,Tokyo Metropolitan Theatre,表演活動,排名第 6的豊島區觀光 (共179家),東京都豊島區1-8-1 Nishiikebukuro171-0021
238,和光百貨,本店 Wako Ginza,購物,排名第 18的中央區觀光 (共577家),東京都中央區4-5-11 Ginza104-8105
239,日本科學未來館,National Museum of Emerging Science and Innovation Miraikan,博物館,排名第 12的江東區觀光 (共343家),東京都江東區2-3-6 Aomi135-0064
240,新宿南方廣場百貨,Shinjuku Southern Terrace,自然景觀,排名第 1的Yoyogi觀光 (共10家),東京都澀谷區Yoyogi2 Yoyogi151-0053
241,東京大學附屬植物園,Koishikawa Botanical Garden,自然景觀,排名第 12的文京區觀光 (共297家),東京都文京區3-7-1 Hakusan112-0001
242,,Tokyo Midtown Hibiya,購物,排名第 40的千代田區觀光 (共446家),東京都千代田區1-1-2 Yurakucho100-0006
243,葛飾柴又寅先生紀念館,Katsushika Shibamata Torasan Memorial Hall,博物館,排名第 3的葛飾區觀光 (共139家),東京都葛飾區6-22-19 Shibamata125-0052
244,目黑河燈飾展,megurogawa MINNA no ILLUMI,表演活動,排名第 7的品川區觀光 (共211家),東京都品川區2-9-5 Higashi Gotanda141-0022
245,新宿十二社,熊野神社 Kumano Shrine,"自然景觀,宗教",排名第 16的新宿區觀光 (共419家),東京都新宿區2-11-2 Nishi-Shinjuku160-0023
246,東京跨海大橋,Tokyo Gate Bridge,自然景觀,排名第 10的江東區觀光 (共343家),東京都江東區Wakasu136-0083
247,,Jiyu Gakuen Myonichikan,"自然景觀,教育景點,遊客相關,宗教",排名第 13的豊島區觀光 (共179家),東京都豊島區2-31−3 Nishi Ikebukuro171-0021
248,,Yamamototei,"自然景觀,宗教",排名第 6的葛飾區觀光 (共139家),東京都葛飾區7-19-32 Shibamata125-0052
249,,Harajuku Station,"自然景觀,觀景區",排名第 29的澀谷區觀光 (共279家),東京都澀谷區1 Jingumae150-0001
250,,Hanegi Park,"遊樂園,自然景觀,休閒與娛樂",排名第 14的世田谷區觀光 (共235家),東京都世田谷區4-38-52 Daita155-0033
251,,TenQ,博物館,排名第 31的文京區觀光 (共297家),東京都文京區1-3-61 Koraku
252,,Billboard Live音樂餐廳 Billboard Live Tokyo,表演活動,排名第 4的Akasaka觀光 (共18家),東京都港區Akasaka9-7-44F107-0052
253,,Takashimaya Nihombashi,"自然景觀,購物,觀景區",排名第 24的中央區觀光 (共577家),東京都中央區2-4-1 Nihombashi103-8265
254,東京馬拉松,Tokyo Marathon,表演活動,排名第 12的新宿區觀光 (共419家),東京都新宿區2-8-1 NishishinjukuTokyo Metropolitan Government Building163-8001
255,,Nittere Plaza,其他,排名第 50的港區觀光 (共626家),東京都港區1-6-1 HigashishinbashiNippon Television Tower105-0021
256,棒球體育博物館,The Baseball Hall of Fame and Museum,博物館,排名第 13的文京區觀光 (共297家),東京都文京區0112-0004
257,,Jujo Ginza Shopping Arcade,自然景觀,排名第 4的北區觀光 (共102家),東京都北區Jujonakahara114-0031
258,,Suga Shrine,"自然景觀,宗教",排名第 37的新宿區觀光 (共419家),東京都新宿區5 Sugacho160-0018
259,胡蘿蔔塔,Carrot Tower,"自然景觀,觀景區",排名第 10的世田谷區觀光 (共235家),東京都世田谷區4-1-1 Taishido154-0004
260,晴海埠頭,Harumi Wharf,自然景觀,排名第 41的中央區觀光 (共577家),東京都中央區晴海3‐10‐1104-0053
261,新大久保韓國城,Shin Okubo Korean Town,自然景觀,排名第 30的新宿區觀光 (共419家),東京都新宿區Shin Okubo
262,表參道,東急Plaza百貨 Tokyu Plaza Omotesando Harajuku,購物,排名第 4的Jingumae觀光 (共24家),東京都澀谷區Jingumae4-30-3 Jingu-mae150-0001
263,精工博物館,The Seiko Museum,博物館,排名第 11的墨田區觀光 (共264家),東京都墨田區3-9-7 Higashi Mukojima131-0032
264,鬼子母神,Kishimojindo,"自然景觀,宗教",排名第 2的豊島區觀光 (共179家),東京都豊島區3-15-20 Zoshigaya171-0032
265,,Yebisu Garden Place Tower,"自然景觀,觀景區",排名第 37的澀谷區觀光 (共279家),東京都澀谷區4-20-3 Ebisu150-6018
266,東京國際會展中心,Tokyo Big Sight,"自然景觀,遊客相關,觀景區",排名第 16的江東區觀光 (共343家),東京都江東區有明3-21-1135-0063
267,相田光男美術館,Mitsuo Aida Museum,博物館,排名第 4的Marunouchi觀光 (共7家),東京都千代田區Marunouchi3-5-1 MarunouchiTokyo International Forum B1100-0005
268,銀座東急Plaza購物中心,Tokyu Plaza Ginza,購物,排名第 23的中央區觀光 (共577家),東京都中央區5-2-1 Ginza104-0061
269,,Amuse Museum,博物館,排名第 51的台東區觀光 (共560家),東京都台東區2-34-3 Asakusa111-0032
270,鈴木演藝場,Suzumoto Performing Arts Hall,表演活動,排名第 29的台東區觀光 (共560家),東京都台東區上野2-7-12110-0005
271,品川神社,Shinagawa Shrine,"自然景觀,宗教",排名第 5的品川區觀光 (共211家),東京都品川區3-7-15 Kitashinagawa140-0001
272,湯島聖堂,Yushima Seido,"自然景觀,宗教",排名第 18的文京區觀光 (共297家),東京都文京區湯島1-4-25113-0034
273,太陽城,Sunshine City,購物,排名第 9的豊島區觀光 (共179家),東京都豊島區1-1 Higashiikebukuro170-0013
274,,Tobacco & Salt Museum,博物館,排名第 19的墨田區觀光 (共264家),東京都墨田區1-16-3 Yokokawa130-0003
275,,Coredo Muromachi 1,購物,排名第 28的中央區觀光 (共577家),東京都中央區2-2-1 Nihonbashi Muromachi103-0022
276,,Institute of Nature Study,自然景觀,排名第 52的港區觀光 (共626家),東京都港區5-21-5 Shirokanedai108-0071
277,新江戶川公園,Higo-Hosokawa Garden,"自然景觀,觀景區",排名第 16的文京區觀光 (共297家),東京都文京區1-1-22 Mejirodai112-0015
278,台場調色盤遊樂園,Pallete Town,"水上樂園和遊樂園,遊樂園",排名第 19的江東區觀光 (共343家),東京都江東區1 Aomi135-0064
279,,Nakano San Mall Shopping Street,自然景觀,排名第 2的中野區觀光 (共142家),東京都中野區5 Nakano164-0001
280,,Hobby Center Kato Tokyo,博物館,排名第 36的新宿區觀光 (共419家),東京都新宿區1-24-10 Nishiochiai161-0031
281,,Yushukan,博物館,排名第 45的千代田區觀光 (共446家),東京都千代田區3-1-1 Kudankita102-0073
282,NHK放送博物館,NHK Museum of Broadcasting,博物館,排名第 53的港區觀光 (共626家),東京都港區Atago 2-1-1105-0002
283,六本木櫻花坂,Roppongi Sakurazaka,"自然景觀,觀景區",排名第 43的港區觀光 (共626家),東京都港區Roppongi
284,東京都現代美術館,Museum of Contemporary Art Tokyo,博物館,排名第 7的江東區觀光 (共343家),東京都江東區三好4-1-1135-0022
285,柴又,Shibamata,"遊客相關,自然景觀,其他","排名第 282的東京觀光 (共5,926家)",東京都
286,,Futakotamagawa Park,自然景觀,排名第 11的世田谷區觀光 (共235家),東京都世田谷區1-16-1 Tamagawa158-0094
287,,Japan Ground Defence Force PR center,博物館,排名第 5的練馬區觀光 (共112家),東京都練馬區Oizumi Gakuencho178-0061
288,荒川區,Arakawa Yuen,"水上樂園和遊樂園,遊樂園",排名第 3的荒川區觀光 (共75家),東京都荒川區6-35-11 Nishiogu116-0011
289,日本民藝館,Japan Folk Crafts Museum (Mingeikan),博物館,排名第 9的目黑區觀光 (共108家),東京都目黑區駒場4-3-33153-0041
290,千鳥淵公園,Chidoriga-fuchi Park,自然景觀,排名第 27的千代田區觀光 (共446家),東京都千代田區1-2 Kojimachi
291,國際文化會館,International House of Japan,自然景觀,排名第 27的港區觀光 (共626家),東京都港區5-11-16 Roppongi106-0032
292,三之丸尚藏館,Sannomaru Shozokan,博物館,排名第 59的千代田區觀光 (共446家),東京都千代田區1-1 Chiyoda100-0001
293,岡本太郎紀念館,Taro Okamoto Memorial Museum,博物館,排名第 36的港區觀光 (共626家),東京都港區6-1-19 Minamiaoyama107-0062
294,,Meiji Kinenkan,自然景觀,排名第 25的港區觀光 (共626家),東京都港區2-2-23 Moto-Akasaka107-0051
295,東京國立近代美術館工藝館,"The National Museum of Modern Art Tokyo, Craft Gallary",博物館,排名第 51的千代田區觀光 (共446家),東京都千代田區北之丸公園102-0091
296,板橋花火節,Itabashi Fireworks,表演活動,排名第 1的板橋區觀光 (共81家),東京都板橋區4 Funado174-0041
297,,Tokyu Setagaya Line,遊客相關,排名第 4的世田谷區觀光 (共235家),東京都世田谷區154-0000
298,,The University Art Museum - Tokyo University of the Arts,博物館,排名第 41的台東區觀光 (共560家),東京都台東區12-8 Uenokoen110-8714
299,,Kiyomizu Kannon-do,"自然景觀,宗教",排名第 2的Uenokoen觀光 (共10家),東京都台東區Uenokoen1-29110-0007
